ɂah,snowshoe
goı̨chąhdlı̨ı̨̀,snot; nasal mucus
goı̨chąhtı̀,runny snot; runny nose
goı̨chà-le,(area) is small; (area) is cramped
gòı̀chı,be chosen; be selected
goı̨chı̨̀kw'ǫǫ̀,backbone
goı̀dı,business (personal); affairs
goı̀dı-le,not our business
goı̀dzà,be tested
goı̨ghǫ̀,nose
goı̨ghǫ̀kw'ǫǫ̀,bridge of the nose
goı̨ghǫ̀yı̀ı,"nasal cavity, in the nose"
goı̨̀hk'à,be hypothermic; have a cold
goı̀hk'ah,have a cold; have a chill
goı̀jıı̀ / goı̀jı̀ıcho,lion-like animal; considered a leader in the animal world
goı̀k'ǫ,(fire) started
goı̨kw'àh,(area) be wet; (area) be damp
goı̨là,hand
goılà,hand
goılà k'e tı nı̀ı̨hke,blister
goılà k'e tı nı̀ı̀tł'ı̀,blisters
goı̨là taanı,middle finger
goı̨lachı̨ı̨̀,wrist
goılàtłeè,hand lotion
goı̀le,nothing; of non existence
gòı̨lè / gǫ̀ǫlè,were; existed in the past (plural)
goı̨nàà,be happy; be blessed; happiness
goı̨nàà,be happy; be pleased
goınàà nàhòwoh,be excited
goı̨nı̀,face
goı̨nı̀,mind; faith
goı̨nı̀ edaa,facial twitch
goı̨nı̀ endaa,facial twitch
goı̨nı̀ k'e tèwhehchı̀ı,mask
goı̨nı̀ k'èch'a,against our will; angry at; against the mind of
goı̨nı̀ k'èè-le,be unsatisfied; be frustrated; be thwarted; not having one's way
goı̨nı̀ k'èts'a,against our will; angry at; against the mind of
goı̨nı̀ nànıetı̀,be weary in mind; grieve; feel burdened; be sorrowful
goı̨nı̀ nàtso,have strong faith
goı̨nı̀ yı̀ı̨tł'ıı,pimples; acne
goı̨nı̀à,be happy; happiness
goı̨nı̨̀hkwǫ̀,cheeks
goı̨nı̀htłı̀h,wrinkles on the face
goı̨nıı,waist; middle of the body
goı̨nı̀kw'ǫǫ̀,cheekbones
goı̨nı̀łı̨ı̨,our evil mind; evil nature
goı̨nı̀tı̀,sweat on the face
goı̨nde,older brother; brother
goıtà,be counted; be considered
goı̨tłoa,(area) is flat
goı̨tłoò,be bare
goı̨tłoò,(area) is slippery; (area) is smooth; (area) is bare
goı̨tłǫǫ̀,be many; we are many
goı̨tłǫǫ̀,many times
goı̨tł'aà,under one's control; in one's hands
goı̨tsà,be spacious; be roomy; (area) is big
goı̨tsąą,nostril
goı̨tsąhdlı̨ı̨̀,snot; nasal mucus
goı̨tsąhtı̀,runny snot; runny nose
goı̨tsà-le,(area) is small; (area) is cramped
goı̨tsı̨,nose
goı̨tsı̨̀kw'ǫǫ̀,backbone
goı̨wà / gǫǫwà,be distant; be far
goı̨zàà,drought; parched area
goı̨zı̀,name
goızı̀,name
goı̨zı̀ nǫǫdee,surname; last name
goızı̀ nǫǫdee,surname; last name
goı̨zı̀ t'akwee wheɂǫǫ,first name
goızı̀ / goı̨zı̀,name; their/our names
goı̨̀zı̨ı̨̀,shadow
goı̨zı̀lǫ,surname; last name
goızı̀lǫ,surname; last name
goı̨zǫ,be smart; be wise; be intelligent
goı̨zǫ,be smart; wise; clever; skilful
goı̨zǫ-le,be silly; be confused; be crazy; be retarded
goı̨zhàà,drought; parched area
goı̨̀zhı̨ı̨̀,shadow
goı̨zhǫ,be smart; be wise; be intelligent
goı̨zhǫ-le,be silly; be confused; be crazy; be retarded
gojıı,be bad/evil
gojıı̀,corner of a structure
gojǫ,front of the body
gojǫhtè,apron
goka,on top of (area)
gokaà,sore; wound; injury
gokaà gha nàèdıłı̨ı̨,iodine; alcohol
gokaà k'e łıı̀dzèe,bandage
gokaà k'e nàèdı ats'ehɂı̨,disinfect sores; disinfect wounds
gokaà wet'à edoò degoo hołè,spleen (lymph gland)
gokaà wet'à gokw'ǫǫ̀ ta nàèdı hołèe,parathyroid gland
gokaà wet'à gowazeè hołèe,salivary gland
gokaàtłeè,ointment for skin
gokàgodı̀,be sent for
gokàgoedı̀,be asked; be invited; be sent for
gokayaetı,be invited; be sent for
gokayatı,be invited; be sent for
gokè,measurement in feet
gokè,foot; foot measure
gokechı̨ı̨̀,ankle
gokę̀ę,area around our feet
gokę̀ę,family; kinspeople; children
gokeèk'è,tracks; footprints
gokegǫǫ̀,toenail
gokegǫǫ̀ k'ets'eet'à,cut toenails; do a pedicure
gokehkwı̀,big toe
gokehtà,heel
gokekw'ǫ̀ą,toe
gokekw'ǫǫ̀,toe; foot bone
gokemǫ̀tsoa,baby toe
goket'aà,top part of foot
goketł'a,sole of foot; under the feet or shoe
goketł'ah,sole of the foot
goketł'àwı,callus (under foot)
goketł'awıı̀,callouses (feet)
goketsı̨ı̨̀,ankle
gokewǫǫ̀,corns
gokǫ̀,home; our house
gòkǫ̀,(area) is warm
gòkǫ̀ dı̀è,(area) is hot
gokǫ̀ naxots'edı-le,not returning home
gokǫ̀ ts'ǫ̀ nats'eedè,go home (plural)
gokǫ̀èlı̨ı̨̀,husband (old word)
gokǫ̀lı̨ı̨̀,husband (old word)
gòkǫ̀ǫ zaà,warm months
gok'a,body fat
gok'à,throat
gok'à jı̀echo kàı̨tsò,Adam's apple
gok'à tàda,diphtheria; throat disease
gok'aɂı̨̀,be less for us/them; not enough for us/them; less than us/them
gok'aàhoeta,get a check-up; be examined
gok'ąąła,"back, between the shoulder blades"
gok'ąąta,"back, between the shoulders"
gok'ah,file
gok'àhch'ı̀ı̀,neck tendons
gok'àhdè,epiglottis
gok'àhdè,uvula
gok'àhdè tàda,diphtheria
gok'àhka ı̨̀ghàa,mumps
gok'àhkaà,neck glands; tonsils
gok'àhkaà,thyroid gland
gok'àhkaà ı̨̀ghàa tàda,Rubella
gok'àhkwo,bowel
gok'àhkwo k'è godoòtł'ı ı̨̀ghàa,hemorrhoids
gok'àhkwo nechàa,large intestine
gok'àhkwo nechàa ı̨̀ghàa,colitis
gok'àhkwo nechà-lea,small intestine
gok'àhkwo nechà-lea ı̨̀ghà,ileitis
gok'àhkwo welǫ,rectum
gok'àhkwo wetł'a dènıɂǫą,appendix
gok'àhkwo wetł'a dènıɂǫą ı̨̀ghà,appendicitis
gok'àhkwoò,large intestine
gok'àhkw'ǫǫ̀,Adam's apple
gok'ahoetaa kǫ̀,clinic
gok'àhtsǫǫ̀,front and sides of neck; outer throat area
gok'àhts'ı̀ı̀,neck tendons
gok'akàà,collar of clothing
gok'àtaa,hips
gok'àtsǫ,neck gland
gok'è ełaı̨woo,stroke
gok'e whehchı̀ı,covering (cloth)
gok'èchıı̀tła,be caught in a trap (one person)
gok'èch'a,against our will; we are offended
Gok'edeets'ıı Zaà,March
gok'èè,half of the body; part of the body
gok'èè ełaèwı,have a stroke; be partially paralyzed
gok'eè yatı,be prayed over/for
gok'ęę̀h,younger
gok'eèhoowo,travel; wander
gok'eek'ǫ̀,(area) burns; (building) burns
gok'eèzoh,frost on land
gok'èhodı̀,be cared for; be looked after; be confined
gok'èı̀ze,be annointed; be blessed; be confirmed in the church
gok'èı̀zee,confirmation
gok'èı̀zhe,be annointed; be blessed; be confirmed in the church
gok'èı̀zhee,confirmation
gok'enı̨ı̨k'ǫ̀ǫ,burned area
gok'ets'eedzıı,criticism
gok'ets'eetı̨̀,sweep the floor
gok'ets'eetı̨̀,sweep an area
gok'ets'eetı̨̀,sweep
gok'ı̀ı̀le,confirm; annoint
gok'ı̀ı̀ze,be annointed; be blessed; be confirmed in the church
gòk'ò,(area) is cold; (area) is chilly
gok'o,neck
gok'oh,neck
gok'ohchı̨ı̨̀,back of the neck; nape
gok'ohkw'ǫǫ̀,neck bones
gok'ohtsı̨ı̨̀,back of the neck; nape
gok'ǫǫ̀,smoke signal
gokwe,before (someone); before in time; formerly
gokwe èt'ıı̀,first; right before
gokwe whaà,long before our time
gokwedǫǫ̀,first of all; before all
gokwee,before (someone); before in time; formerly
gokwe-t'ıı̀,first; right before
gokwı,grandchild to a man
gokwı̀,head
gokwı̨,axe
gokwı̨,"""axe""; single (previously married); footloose and fancy-free; widowed"
gokwı̀ eya,headache; hang-over
gokwı̀ eya nàèdıı̀,aspirin
gokwı̀ eyah,headaches
gokwı̨ ı̨̀łats'ǫ̀ wek'à gǫ̀hłı̨ı̨,double-bladed axe
gokwı̀ nàtso,be stubborn
gokwıa,little grandchild to a man
gokwı̨chı̨ı̨̀,axe handle
gokwı̀ch'ı̀ı̀,tendons on the head
gokwı̀eya nàtsoo,migraines
gokwı̀ghà,hair
gokwı̀ghà k'e ts'ehɂǫǫ,hairpin; barrette
gokwı̀ghà k'e whelaa,hairpins; barrettes
gokwı̀ghà k'enaets'ehtse,wash hair
gokwı̀ghà k'ets'eet'à,clip hair; cut hair
gokwı̀ghà sıı̀hɂı̨ı̨ dǫǫ̀,hairdresser
gokwı̀ghà ts'ets'ı̀,comb
gokwı̀ghàɂoo,unkempt hair
gokwı̀ghǫ̀chı̨ı̨̀,brain stem
gokwı̀ghǫ̀chı̨ı̨̀,cervical brain
gokwı̀ghǫ̀ǫ̀,brain
gokwı̀ghǫ̀ǫ̀ gǫǫzǫ-le,retardation
gokwı̀ghǫ̀ǫ̀ yı̀ı ekaà wet'à ts'eezhee,pituitary gland
gokwı̀kw'ı̨̀ą,bald head
gokwı̀kw'ǫǫ̀,skull
gokwı̀kw'ǫǫ̀ ts'ǫǫ̀hk'e,cranial
gokwı̀lè,dandruff
gokwı̀lǫǫ,tip of the head
gokwı̀łòò,scalp
gokwı̀t'a,crown
gokwı̀t'a,top of the head; crown of the head
gokwı̀tło,bald head
gokwı̨tsı̨ı̨̀,axe handle
gokwı̀tsǫǫ̀,head oil; dirt on the scalp
gokwı̀ts'ı̀ı̀,tendons on the head
gokwı̀whò,scalp removed from the head
gokwo,anus
gokwǫ̀,flesh; skin
gokwǫ̀,skin
gokwǫ̀ ɂǫ̀ǫ̀ xàɂa,have chicken pox
gokwǫ̀ daı̨dlaa,scratch on the skin
gokwǫ̀ dèhtł'èe,bruises
gokwǫ̀ dekwo tàda,jaundice
gokwǫ̀ dı,lines in skin; wrinkles
gokwǫ̀ echıı,eczema
gokwǫ̀ edoo tàda,tetanus
gokwǫ̀ ek'ı̨ı̨̀ làanı̀,rash on the skin; goosebumps
gokwǫ̀ ełeats'ǫ,wrinkles
gokwǫ̀ etı̨,have frostbite
gokwǫ̀ et'è,get a burn
gokwǫ̀ eyaa,pain
gokwǫ̀ eyeh,(skin) itch
gokwǫ̀ ı̀ghàa tàda,dermatitis
gokwǫ̀ ka tǫhxe,impetigo
gokwǫ̀ k'e dek'oa nı̀ı̀tł'ı̀ı̀,measles
gokwǫ̀ k'e nı̀ı̀tł'ı̀ı,chicken pox
gokwǫ̀ k'e tǫhxe,cysts
gokwǫ̀ nàèhdlıı k'è,(medical) stitches
gokwǫ̀ ta bò eyıts'ǫ nàèdı k'etł'òo,metabolism
gokwǫ̀ ta dexèts'edı̀ı,nervous system
gokwǫ̀ ta etłı̀,membrane
gokwǫ̀ ta gòk'òo,chills
gokwǫ̀ ta tı whı̀le,be dehydrated
gokwǫ̀ tsı̨̀dıı̀tł'òo,bruises
gokwǫ̀ wekaa,epidermis
gokwǫ̀ wetǫǫ̀,dermis
gokwǫ̀ whet'ee,burns
gokwǫ̀ xàdaatł'òo,bruising
gokwo yı̀ı t'ası̀ı dekwo dehshee wet'a eyeh,yeast infection
gokwǫ̀ yı̀ı̀tł'ı̀ı tàda,chicken pox
gokwǫ̀ghà,body hair
gokwǫ̀kaà eyee,scabies
gokwǫ̀ta,all over the body
gokwǫ̀tǫǫ̀ edoò nı̀ı̀tł'ı̀,hematoma
gokwǫ̀-eya,pain; to be in pain
gokw'àh,(area) be wet; (area) be damp
gokw'è,body sinew
gokw'è,muscles
gokw'èh,sinew along the back
gokw'ı̨̀,upper arm
gokw'ı̨̀lıı̀,muscle on upper arm; biceps
gokw'ǫǫ̀,bone; leg; corpse; body
gokw'ǫǫ̀ dezhı̀-le tàda,bone disease; osteoporosis
gokw'ǫǫ̀ ehtı̨̀ı̨,bone fracture
gokw'ǫǫ̀ ełaı̨dèe,paralyzed
gokw'ǫǫ̀ ełeghaı̨ɂaa,joints of the body
gokw'ǫǫ̀ eya tàdaa,arthritis
gokw'ǫǫ̀ eyıts'ǫ gonǫzhı̀ı tàda,polio
gokw'ǫǫ̀ gha nàèdı,calcium
gokw'ǫǫ̀ k'èchı̨ı̨̀ɂaa,joint
gokw'ǫǫ̀ nàatǫ̀ǫ,broken bone
gokw'ǫǫ̀ tàda,arthritis
gokw'ǫǫ̀ wegha gozhǫ,dislocated joint
gokw'ǫǫ̀ wexèetł'ı̨ı̨ dechı̨ı̨̀,splint
gokw'ǫǫ̀ xàtsı̨deewı̀ı,dislocation
gòla,be situated (plural areas); (areas) are located
golà,hand
golaà,work; our work; our job
golaàgoèɂàa,authority; power
golachı̨ı̨̀,wrist
golachı̨ı̨̀ ghagoèhzhǫǫ,wrist joint
golachı̨ı̨̀ k'e whelaa,bracelet
golagǫǫ̀,fingernail
golagǫǫ̀ k'ets'eet'à,clip fingernails; cut fingernails; do a manicure
golahchı̀,thumb; inch
golahkwı̀,index finger
golahtsı̀,thumb; inch
golakoò,girlfriend; boyfriend
golakwǫ̀,palm flesh of the hand
golakw'ǫǫ̀,finger
golakw'ǫǫ̀lǫ,fingertips
golalǫ,tip of the hand
golamǫ̀tsoa,baby finger
golatènıı̀,major knuckles of the hand
golat'aà,back of the hand
golatł'ah,palm of the hand
golatsı̨ı̨̀,wrist
golatsı̨ı̨̀ ghagoèhzǫǫ,wrist joint
golatsı̨ı̨̀ k'e whelaa,bracelet
golawò detǫǫ,hand callus
golawò dezhı̀ı,callouses (hands)
golawǫǫ̀,wart
gòlè,happening; taking place
golı,ice; icicles; ice chunks; ice cubes
golı gok'e whehtǫǫ,ice pack
golı golı,sound made by kids pretending to eat mudpies
golı nàhoeɂòo,icicle
golı nàhooɂòo,icicle
golıı̀,scab
golııwò,bladder
golıka,glazed snow
golıkw'àà,ice scoop
golıwò,bladder
golıwò ı̨̀ghàa,cystitis
golo,urine
golǫ,moose
gòlo,burned forest area
Gòlo Tı̀,Saddle Lake
Gòlo Tı̀ Deè,Marian River
gòloà,type of flying insect
golǫhdı̀ı,ant
golǫkwǫ̀,moose meat
gòlook'e,burned forest area
gołekǫ,(area) smells good
goma,there is a bad odor; it stinks (in here)
gomą,(area) stinks; (area) smells bad
gomǫ,mother; mom
gomǫ whelı̨ı̨,woman who just became a mother
gòmǫą,butterfly
gomǫǫ̀,around; surrounding
gomǫ̀ǫ,aunt; stepmother
gomǫǫ̀ tsı̨̀gowıı,pollution
gomba,older sister
gombaa,dawn
gombaa gòlè,it is early morning light; it is dusk
gombò,stomach; lower abdomen
gonaɂı̨̀,hidden from view; out of one's sight
gonaàɂı̨̀ı̨ hoèwo,confuse
gonaàhtǫ,without our knowledge
gonaàhtł'à t'à,looking out of the corner of one's eye
gonaazǫ,pupil of the eye
gonabeeghà,eyebrow
gonachı̨ı̨̀,temples of the head; sinus
gonadą,in front of (people)
gonadąą,before; infront of us/them
gonageè,eyeball
gonàgeeta,they spy on us
gonagoò,eyelash
gonaghoò,eyebrow
gonahk'aa,temple (of head); temples (of head)
gonahk'e,more than us/them
gonahta,backside
gonahtł'à ghagoı̨ɂàa,tear duct
gonahtsǫ̀ą,nose
gonakǫ̀,pupil
gonakǫ̀ǫ̀,pupil of the eye
gonakweè,ahead of us/them; in front
gonakweè,ahead; in front of us/them; before us
gonakweè aahłı̨ı̨,you are our leaders
gonakw'ǫǫ̀,temples of the head
gonalıı̀,eyeball
gonàowoò,tradition; principle; law; our culture/ way of life
gonàowoò ts'ııtǫ̀ǫ,inherent rights
gonàowoòłı̨ı̨,our evil way/nature
gonatı̀,tears
gonatsı̨ı̨̀,sinus; temples of the head; nasal passage on the forehead
gonatsı̨ı̨̀ ı̨̀ghàa,sinusitis
gonats'ò,cataracts
gonawò,eyelid
gonaxeè,"eye mucus; ""sleep"""
gonazı̀ı,in front of; in (someone's) vision
gonazhıı,field of vision
gonèè,our land; our homeland
gonèk'e,in our country
gonèk'e gots'eèdı,we have social problems in our communities
gonı,among us/them
gonı̀,face
gonı̀,mind; faith
gonı gotł'à ts'ǫ̀,loin
gonı̀ k'e dezǫą nı̀ı̨tł'ı̀ı,acne
gonı̀ahǫ̀ǫht'è,be short tempered
gonı̀dǫǫ̀,toward us/them; going against (upwind)
gonıets'ǫ̀,directly among us/them
gonı̨̀hk'à,be hypothermic; have a cold
gonı̨̀htà nàwhehts'ı,crosswind
gonı̨̀htà nàwhohts'ı,crosswind
gonı̨htł'è,our debt; our book; our paper
gonıı,waist; middle of the body
gonı̀ı̨ghòo,valley
gonı̨ı̨̀kw'ǫǫ̀,backbone; back
gonı̨ı̨tǫ̀ǫ,valley
gonı̀ı̨ts'ı,blown ashore?
gonı̀ı̀-le,be angry; be mad; be displeased
gonıkw'ǫǫ̀ ełelaı̨ɂaa,vertebrae
gonıkw'ǫǫ̀ ts'ǫǫ̀hk'e,lumbar
gonǫkw'ǫǫ̀,backbone; back
gonǫkw'ǫǫ̀,spine
gonǫǫ̀kw'ǫǫ̀,backbone; back
gonǫzhı̀ı,spinal cord
gonǫzhı̀ı tàda,meningitis
gonǫzhı̀ı wexèɂeèdıı,spinal cord injury
gondaà,eye; eyesight; presence
gondaà endaa,eye twitch
gondaà tǫhxè nıı̀kw'o,sty
gondaàk'o,white of the eye
Gonde-a nęęwǫ nı̨dè nı̨là ı̨dòo anele.,"If you want to talk, please raise your hand."
gondı,story; news
gondı enı̨htł'è,story book; newspaper
gondıı̀,food; bait; feed
gòo,worm; insect; bug; snake
gǫǫ̀,jack pine
gòo ı̨t'ǫą nedèe,tapeworm
gòo nechàa,snake
gòo netsàa,snake
gòo tàda,cancer
gòo t'à eyaelı̨,cancer
goòɂà,(road or path) extends
gǫǫ̀ɂoò,pine needle
gòocho,snake
goòch'oo,be pointed
googhoò,bubbles; soapsuds
googhoo,thick bushes; thicket; brambles
goohgò k'e whelaa,kneepads
goòhk'a,bacon
goòhk'a tłeè,bacon grease
goòhkw'òa,tiny
gǫǫkàa,green alder
gook'ah,file
gook'o,be red (outside; sky; in the house)
gookwı̨ı̨̀,axe
gǫ̀ǫ̀mbàa,sleeve
gǫ̀ǫ̀mbàa dąą,cuffs
gǫ̀ǫ̀mbàa-lea,vest
goot'ǫ,be messy (place)
gǫǫtłǫǫ̀,many times
gǫǫtłǫǫ̀,be many; we are many
gòotso,snake
goòts'oo,be pointed
gǫǫwà,be distant
gǫǫwà-le,be near
goòwè,vertical snare stick
gǫǫzǫ,be smart; wise; clever; skilful
gosını̀yaetı,was judged (plural); we were judged
gosını̀yatı,be judged; we are judged
gosını̀yatıı dzęę̀,judgement day
gota,around an area
gotà,father
gotaàts'eedı,"distribute (food, water); give out (food, water)"
gotadà,across from
gotaèt'e,each one of them/us
gotaezhı̀,wrecking the place
gotats'ele,distribute; deal out
gotawhıetła,fighting them/us (one person)
gote,over us/them
goteet'à,burp; heartburn
goteet'à,heart burn
goteet'à,hiatus hernia
goteètł'ı,be spilled over (flood by water)
gotehoowı,endure (hardship); go through
gotèwhı̨̀ą,dragonfly; helicopter
gotı̀,daughter
gotı̀ ǫhdaà,oldest daughter
gotı̀whı̨ı̨̀,dragonfly; helicopter
got'à,next to the body; under the clothing; under the blanket
got'aa,next to; very close to
got'aanǫǫ̀,back area of the body
got'ààtı̀,body sweat
got'èèzhıı,near; below
got'ıh,muscles
got'ıı̀,skin
got'ı̨ı̨̀,people of an area; tribe of; dwellers of
gòt'ıı̀,leech; snake
got'ò k'e xàɂı̨tsòo whelaa,lumps (breast)
got'ǫ̀ yı̀ı ewea nııɂàa,milk duct
got'ò yı̀ı gòo tàda,breast cancer
got'ohkw'ǫǫ̀,breast-bone; sternum
got'òkwı̀a,breast nipples
got'òò,breast; milk
got'òòkwı̀a,nipple
got'oòkw'ǫǫ̀,breast-bone; sternum
gotłoa,be smooth; bare spot
gotłoò,(area) is slippery; (area) is smooth; (area) is bare
gotłǫǫ̀,(area) is slippery
gotłoò,be bare
gotł'a,from (someone's) hands
gotł'à,bottom; bum; rump; buttocks
gotł'a,underneath a place
gotł'aà,into (someone's) hands
gotł'aà ası̀ı weghàladaa,management; things under (our) management
gotł'aàyehtè,he hands him over to them
gotł'aetła,he got out of our hands (one person); he escapes them/us (one person)
gotł'ah,underneath a place
gotł'àkwǫ̀,buttocks
gotł'àkwǫ̀ gokw'è,gluteus maxims
gotł'àkw'ǫǫ̀,sit bones
gotł'àkw'ǫǫ̀,pelvis
gotł'àts'ǫǫ̀,hip bones
gotł'èè,vagina; crotch
gotł'ıhwhò k'e ekaà,prostate gland
gotł'ò,gall bladder
gotł'ò yı̀ı kwe dehsee,gall-stone
gotł'ò yı̀ı kwe dehshee,gall-stone
gotsàa,grandchild of a woman; daughter-in-law of a woman; son-in-law of a woman
gotsè,nail
gotsè laezı̀,hammer a nail
gotsè laezhı̀,hammer a nail
gotsèa,finishing nail; small nail
gotsèkw'ǫǫ̀,tail bone
gotsèlaezı̀a,hammer
gotsèlaezhı̀a,hammer
gotsèwhı̨ı̨̀,dragonfly; helicopter
gotsı,younger brother
gotsı̨,grandmother; mother-in-law
gotsı̨̀,body odor
gotsı̨̀ą,penis
gotsı̨̀hta,nasal cavities
gotsı̨̀ht'a,back
gotsı̨̀t'a,back
gotso,ancestors; forbears
gotsǫ,womb; uterus
gotsǫgo nawhet'ıı,diaphragm
gotsoò,(area) is damp
gotsǫǫ̀,flank; side of body; rib
gotsǫǫ̀,sweat; scum; dried skin; dirt on body
gotsǫ̀ǫ̀,shit
gotsǫǫ̀hgoò,diaphragm
gotsǫǫ̀kw'ǫǫ̀,ribs; rib bones
gots'àɂeedı̀,be paid; receive payment
gots'abeè,forehead
gots'achè,hair bangs
gots'àdaedı dǫǫ̀,lawyer; defender
gots'àdaedıı,witness
gots'àdıı,helper
gots'agoò,labrador tea
gots'ambeè,forehead
gots'atsè,hair bangs
gots'ede,talk
gots'ede,talk; speak
gots'edo,inform; relate an event
gots'eedı̀,be lazy
gots'eèdı,be a miserable situation; be boring; be messy
gots'eèdı hòɂǫǫ,there are problems
